Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ващенко-Захарченко,Ганна,Василівна,Жінка,1974-12-07,М'ясник,хутір Феодосія,"проспект Скляний 1-й, буд. 27 кв. 5, Житомир, 68010",+380 04 037-40-79,olha10@example.org
Гуцуляк,Вікторія,Василівна,Жінка,1959-04-23,Гицель,село Долинська,"площа Інглезі, буд. 8, Красноперекопськ, 33709",+380 43 062-73-83,dashkevychmykolai@example.com
Лавренко,Ярослава,Андріївна,Жінка,2005-01-07,Ювелір,село Косів,"шосе Діхтієвського Віктора, буд. 494, Голубівка, 59423",804 82 09,mykhailo34@example.com
Гунько,Наталія,Богданівна,Жінка,1945-06-12,Археолог,село Чоп,"провулок Нечипуренка, буд. 7 кв. 8, Алмазна, 15644",+380 94 924-17-17,chubaipriska@example.com
Величко,Олена,Романівна,Жінка,1940-09-04,Соціолог,хутір Залізне,"вулиця Бреуса, буд. 82, Київ, 51819",609 36 38,nataliiaiakymchuk@example.net
Пушкар,Богуслава,Сергіївна,Жінка,1992-12-29,Науковець,селище Щолкіне,"сквер Іподромний, буд. 89, Трускавець, 36489",966 77 78,tereza26@example.com
Теличенко,Роксолана,Петрівна,Жінка,2005-10-20,Археолог,місто Долинська,"сквер Овідіопольська дуга, буд. 418 кв. 05, Чоп, 96041",+380 31 442 22 28,mavramchuk@example.com
Цибуленко,Христина,Степанівна,Жінка,1970-07-26,Дизайнер,селище Горішні Плавні,"шосе Соляний 5-й, буд. 5, Радомишль, 41867",949-12-46,nalyvaikoruslan@example.net
Андрійович,Едита,Андріївна,Жінка,1959-09-04,Публіцист,село Бобринець,"площа Ростовська, буд. 587 кв. 9, Татарбунари, 06743",+380 72 136 91 98,fkorzh@example.net
Євтушок,Єва,Богданівна,Жінка,1943-08-13,Маркетолог,хутір Білогірськ,"площа Дігтярна, буд. 84, Підгородне, 84339",+380 60 767-32-07,olehievtushenko@example.org
Тесленко,Христина,Михайлівна,Жінка,2007-07-30,Композитор,місто Олександрівськ,"сквер Лінія 52-га, буд. 96 кв. 53, Біляївка, 21470",879 38 37,htiahnybok@example.com
Пилипенко,Надія,Андріївна,Жінка,1959-09-08,Реставратор,місто Міусинськ,"провулок Верстатобудівна, буд. 57 кв. 49, Свалява, 92934",187-22-99,aaronskopenko@example.com
Ященко,Тетяна,Юріївна,Жінка,1969-08-08,Геолог,село Мирноград,"проспект Матроська Слобідка, буд. 9 кв. 68, Новоукраїнка, 99115",579 11 93,shamraiiustym@example.org
Базилевич,Пріска,Олексіївна,Жінка,2008-07-10,Мірошник,село Звенигородка,"узвіз Ползунова 1-й, буд. 387, Рубіжне, 04949",096 037 13 36,xshyian@example.org
Прокопович,Ірена,Григорівна,Жінка,1966-08-31,Географ,місто Бердянськ,"площа 5-та Суворовська, буд. 310, Корець, 05117",616-78-58,dbazylevska@example.net
Пушкар,Амалія,Михайлівна,Жінка,1955-04-11,Математик,місто Бобринець,"набережна Абрикосовий, буд. 2 кв. 741, Новомиргород, 71277",007 023-15-97,arkadiikorpaniuk@example.net
Товстуха,Лілія,Павлівна,Жінка,1957-02-13,Педагог,місто Зміїв,"провулок Басейна, буд. 810 кв. 8, Бахмут, 76856",+380 98 534-99-47,vysochaniaroslava@example.com
Вернидуб,Любов,Дмитрівна,Жінка,1949-07-16,Паралегал,селище Полтава,"парк Лиманчик 2-й Лінія 3-тя, буд. 2 кв. 59, Бучач, 53269",041 392-10-87,trokhymtaran@example.net
Якимчук,Роксолана,Вікторівна,Жінка,1987-06-06,Менеджер,хутір Олевськ,"парк Рибальська балка, буд. 2, Христинівка, 73681",968-35-20,triabets@example.net
Журба,Надія,Павлівна,Жінка,1972-01-20,Єгер,місто Хотин,"провулок Лузанівка, буд. 91 кв. 96, Кременчук, 95875",750 01 10,gshvachko@example.org
Швайка,Емілія,Василівна,Жінка,1957-09-02,Історик,місто Одеса,"парк Ватманський, буд. 391, Жовті Води, 68177",082 645 45 78,volodymyra88@example.net
Баранець,Еріка,Володимирівна,Жінка,1954-04-30,Головний меркшейдер,хутір Токмак,"парк 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 475, Кадіївка, 30764",+380 (41) 324-28-84,marianavlokh@example.com
Гуцуляк,Златослава,Федорівна,Жінка,1961-09-20,Хореограф,селище Долина ,"парк Мазараті, буд. 3, Звенигородка, 28083",088 506 48 22,andreikookhrim@example.net
Шахрай,Лариса,Макарівна,Жінка,1947-04-12,Публіцист,хутір Географія Вільнянська,"площа Якірний, буд. 7, Буринь, 30012",+380 99 900-52-03,nadiiasymonenko@example.com
Верхола,Маруся,Романівна,Жінка,1954-06-12,Провізор,хутір Надвірна,"проспект 14-та ст. Великого Фонтану пляж, буд. 5, Ромни, 28287",021 766-50-51,stefan75@example.org
Ковалюк,Віра,Макарівна,Жінка,1980-12-18,Кур'єр,село Богодухів,"проспект Марата, буд. 564 кв. 1, Бахмач, 76486",+380 27 542-41-52,bivanchenko@example.org
Юрченко,Одарка,Степанівна,Жінка,1965-03-26,Електрик,селище Первомайськ,"шосе Мукачівський, буд. 6 кв. 5, Перечин, 90306",+380 (61) 402-57-74,haievskyiparmen@example.org
Абрамчук,Софія,Федорівна,Жінка,1941-11-22,Письменник,село Вуглегірськ,"парк Савицький, буд. 0 кв. 194, Перещепине, 23426",+380 36 600 69 05,ydarahan@example.com
Данильчук,Ярослава,Романівна,Жінка,2004-06-06,Сантехнік,село Буринь,"вулиця ПшеничнаРадищева, буд. 2 кв. 982, Миколаївка , 33552",+380 46 975 75 99,yhavrylets@example.com
Сіробаба,Людмила,Петрівна,Жінка,1941-10-16,Бібліотекар,хутір Борщів,"шосе Радіо, буд. 81, Лутугине, 20842",014 736-15-39,veniiamynviter@example.net
Малишко,Ірена,Макарівна,Жінка,1973-03-05,Музичний редактор,хутір Олевськ,"проспект Магістральна, буд. 19 кв. 20, Балаклія, 50602",088 812-29-78,bduplii@example.com
Андрієвич,Олена,Дмитрівна,Жінка,1965-03-02,Правник,місто Сквира,"площа Миколи Вороного, буд. 204 кв. 9, Борщів, 05859",+380 91 961-72-69,vladyslav80@example.net
Їжакевич,Лариса,Андріївна,Жінка,1966-04-19,Кухар,місто Краматорськ,"парк Калинова, буд. 8 кв. 98, Сулимівка (Слов'янськ), 78231",+380 28 144 00 47,protsenkoliliia@example.org
Сацюк,Надія,Федорівна,Жінка,1958-01-19,Водій,хутір Перевальськ,"сквер Курська, буд. 711 кв. 5, Герца, 57220",062 587-21-13,mtkach@example.com
Шовкопляс,Мілена,Макарівна,Жінка,1961-09-07,Історик,хутір Рахів,"провулок Шкільний аеродром, буд. 0, Хотин, 57337",075 487 50 38,vadymbarannyk@example.net
Артюшенко,Мілена,Павлівна,Жінка,2004-09-05,Лікар,місто Вилкове,"шосе Демократична, буд. 87, Кобеляки, 69489",+380 48 300-22-28,chuprynastefan@example.org
Копитко,Марʼяна,Володимирівна,Жінка,1966-10-25,Продюсер,село Ізмаїл,"сквер Старопортофранківська, буд. 6 кв. 39, Хотин, 27308",+380 71 923 86 42,marta66@example.net
Рудько,Ярина,Макарівна,Жінка,2005-02-11,Реставратор,місто Устилуг,"набережна Лінія 35-та, буд. 11 кв. 5, Бар, 81822",+380 (23) 078-77-43,konopliaadam@example.com
Хоменко,Наталія,Павлівна,Жінка,1996-11-15,Композитор,селище Городок,"сквер Глухий міст, буд. 6, Коростень, 52059",+380 28 508 58 50,yovsiienko@example.com
Вишивана,Анастасія,Дмитрівна,Жінка,1997-01-02,Художник,село Боярка,"вулиця Одеська, буд. 2 кв. 060, Снігурівка, 43768",531 94 82,stepan24@example.net
Петренко,Василина,Романівна,Жінка,1947-09-05,Епідеміолог,місто Канів,"узвіз Хімічна, буд. 66, Інкерман, 90118",084 974 27 31,illia32@example.net
Гоголь-Яновська,Олена,Андріївна,Жінка,1969-12-08,Медик,хутір Чоп,"площа Софії Перовської, буд. 4, Вознесенівка, 89417",441-43-26,redkoiryna@example.net
Ґереґа,Людмила,Макарівна,Жінка,1989-10-13,Складальник,село Кремінна,"узвіз Желябова, буд. 089, Світлодарськ, 14454",+380 78 325-79-72,demianiukarkadii@example.org
Верменич,Ірина,Павлівна,Жінка,1997-09-30,Кур'єр,хутір Баранівка,"узвіз Нафтовиків, буд. 971 кв. 062, Скалат, 90923",+380 (06) 866-27-76,havrylohavrylenko@example.org
Іваничук,Одарка,Олегівна,Жінка,1996-11-14,Науковець,хутір Хорол ,"парк Сумський, буд. 7, Гірське, 01250",+380 73 326-06-05,gzasiadko@example.org
Притула,Віра,Іванівна,Жінка,1945-10-03,Кухар,місто Берегове,"шосе Естафетна, буд. 710, Кіцмань, 34968",447-55-21,bohdanhunko@example.com
Сірченко,Богуслава,Олегівна,Жінка,2007-10-01,Штукатур,місто Алчевськ,"провулок Каманіна, буд. 4 кв. 0, Токмак, 35150",+380 93 741-32-27,panas75@example.com
Іващенко,Марʼяна,Павлівна,Жінка,1969-05-03,Музичний редактор,хутір Сколе,"шосе Москеті, буд. 866 кв. 315, Дніпрорудне, 71928",+380 (01) 607-85-02,olesvasylechko@example.net
Литвин,Марʼяна,Григорівна,Жінка,1949-07-01,Музикознавець,село Мостиська,"сквер Заводська 4-та, буд. 350 кв. 043, Кролевець, 95699",076 711 28 12,mykhailoumanets@example.org
Бандура,Святослава,Юріївна,Жінка,1963-01-18,Випробувач,селище Лиман ,"проспект Солонцюватий, буд. 0 кв. 03, Алмазна, 95981",277-11-74,iakiv48@example.org
Бевз,Варвара,Степанівна,Жінка,2000-04-11,Секретар,село Сватове,"проспект Марата 1-й, буд. 29 кв. 1, Стрий, 40761",+380 79 066-49-68,fedirzabila@example.net
Тимчук,Алла,Андріївна,Жінка,1970-07-12,Кушнір,селище Новоселиця,"проспект Купріна, буд. 02, Вільногірськ, 91809",+380 54 479-40-21,verkhovynetsles@example.com
Цимбалюк,Аніта,Степанівна,Жінка,1998-05-08,Соціолог,село Сорокине,"провулок Джерельна, буд. 81 кв. 682, Яготин, 55396",077 946-02-00,tykhyivasyl@example.net
Ковпак,Емілія,Андріївна,Жінка,2007-06-15,Державний службовець,селище Жовква,"проспект Дворянська, буд. 31, Татарбунари, 37791",+380 16 085-47-37,viarema@example.org
Дейсун,Святослава,Павлівна,Жінка,1958-11-05,Кухар,село Керч,"провулок Старосінна, буд. 3, Шепетівка, 96483",+380 31 643-04-76,omelian17@example.com
Лавренко,Анастасія,Василівна,Жінка,1993-09-21,Бібліотекар,місто Білопілля,"узвіз Стахановський 4-й, буд. 62, Сарни, 35136",172-24-15,vladyslav78@example.net
Килимник,Пріска,Юріївна,Жінка,1954-08-28,Реставратор,село Васильків,"узвіз Старопортофранківська, буд. 81 кв. 36, Ватутіне, 13940",195 51 15,ieroshenkooksana@example.net
Гречко,Христина,Юріївна,Жінка,1968-05-08,Кінолог,селище Маріуполь,"набережна Незалежності, буд. 4, Алушта, 61046",077 232-90-73,qpustovit@example.com
Зінчук,Христина,Вікторівна,Жінка,1985-07-10,Електрослюсар,місто Луганськ,"провулок Сортувальна 2-га, буд. 17 кв. 585, Лебедин, 48833",191-40-11,mazepaserhii@example.com
Юрченко,Аніта,Павлівна,Жінка,1942-12-07,Паблік рилейшнз,місто Хуст,"вулиця Технічний, буд. 985, Волочиськ, 97684",363 89 44,piddubnyidanna@example.org
Голик,Віра,Андріївна,Жінка,1999-12-06,Штукатур,місто Болехів,"набережна Кладовищенська, буд. 56 кв. 8, Амвросіївка, 55136",+380 74 114 42 89,xkhudobiak@example.net
Саєнко,Надія,Павлівна,Жінка,1998-03-31,Мінералог,селище Часів Яр,"проспект Житомирський 4-й, буд. 65 кв. 0, Новомиргород, 98680",+380 (03) 466-16-51,jvdovenko@example.com
Атаманюк,Олена,Федорівна,Жінка,1940-03-03,Психолог,селище Дунаївці,"сквер Гагаріна, буд. 024 кв. 02, Ржищів, 52449",+380 29 317-11-43,mnazarenko@example.net
Смик,Амалія,Богданівна,Жінка,1960-05-03,Ді-джей,селище Сновськ,"шосе Локомотивний 2-й, буд. 1 кв. 3, Залізне, 59260",+380 87 054-86-50,albertshvedchenko@example.net
Пʼятаченко,Святослава,Юріївна,Жінка,1983-09-21,Бібліограф,місто Заводське,"набережна Панаса Мирного, буд. 2, Новомиргород, 54889",145-25-21,spasvasylenko@example.net
Аронець,Клавдія,Дмитрівна,Жінка,1969-05-04,Локсмайстер,хутір Чортків,"вулиця Залізнична, буд. 0, Синельникове, 23621",+380 76 731-73-31,kkonoplenko@example.net
Пʼятаченко,Едита,Михайлівна,Жінка,1938-11-06,Палеонтолог,селище Алупка,"набережна Кипарисний 1-й, буд. 112 кв. 3, Берислав, 61500",+380 00 263 62 83,ievhen87@example.com
Чаленко,Володимира,Михайлівна,Жінка,1993-12-16,Краєзнавець,селище Білицьке,"парк Палубний, буд. 390 кв. 2, Амвросіївка, 77148",+380 30 891 38 37,feofan23@example.com
Журавель,Юстина,Сергіївна,Жінка,2004-05-30,Біолог,хутір Болехів,"набережна Скляна, буд. 557 кв. 7, Сокаль, 79027",+380 19 301-79-72,ishchakazar@example.com
Євдокименко,Валентина,Вікторівна,Жінка,2005-07-14,Водій,селище Дружківка,"набережна Лінія 48-ма, буд. 1 кв. 46, Роздільна, 96214",598 18 94,olenasalii@example.org
Авдєєнко,Віра,Андріївна,Жінка,1954-06-24,Диригент,хутір Бібрка,"шосе Поперечний, буд. 6 кв. 51, Карлівка, 58203",078 003-34-27,albertandriievych@example.com
Чарниш,Одарка,Федорівна,Жінка,1987-08-22,Провізор,хутір Кобеляки,"шосе Мазараті, буд. 6 кв. 09, Болград, 64127",+380 26 675-93-58,petrodubas@example.org
Гавриленко,Ольга,Іванівна,Жінка,1965-07-05,Дизайнер,місто Броди,"парк Квіткова, буд. 63, Іловайськ, 57907",+380 04 069-84-88,emiliialahoda@example.net
Їжакевич,Юстина,Петрівна,Жінка,1961-09-29,Сантехнік,місто Першотравенськ,"узвіз Локомотивний 1-й, буд. 7, Ірпінь, 75147",619 70 99,roksolanahavryliv@example.com
Чубай,Лілія,Володимирівна,Жінка,1947-06-18,Пекар,селище Новоазовськ,"парк Павла Кравцова, буд. 00, Дружба , 72601",+380 67 502-45-02,heorhii59@example.com
Гавришкевич,Амалія,Павлівна,Жінка,1953-06-13,Складальник,селище Баштанка,"проспект Рибальський, буд. 6, Здолбунів, 17471",+380 42 585 80 88,sviatoslava83@example.com
Малишко,Аліна,Романівна,Жінка,1979-01-10,Кінолог,селище Звенигородка,"проспект Садова, буд. 77, Євпаторія, 33155",924 02 91,uvysochan@example.com
Ващенко,Василина,Олександрівна,Жінка,1949-10-14,Кінокритик,хутір Рава-Руська,"провулок Адміральський, буд. 349 кв. 93, Добропілля, 78342",+380 11 180-85-21,vasylenkoiukhym@example.org
Стус,Марія,Дмитрівна,Жінка,1988-07-08,Флорист,місто Ірміно,"провулок Березова, буд. 99 кв. 591, Донецьк, 87859",+380 71 213-88-68,masliaksolomon@example.net
Кармалюк,Марія,Федорівна,Жінка,1998-09-26,М'ясник,місто Кам'янка-Бузька,"сквер Фонтанська дорога, буд. 76 кв. 481, Лиман , 71257",620 58 04,pryimakklyment@example.net
Таран,Лариса,Макарівна,Жінка,1972-08-10,Кінорежисер,селище Мар'їнка,"сквер Старокінний, буд. 327, Костянтинівка, 81318",888 02 45,vitaliikabanenko@example.com
Ірванець,Марʼяна,Петрівна,Жінка,1990-12-29,Художник,місто Скадовськ,"узвіз Миколи Гумільова, буд. 6, Яготин, 27692",049 063-01-41,chekaliukmarko@example.net
Черінько,Мілена,Юріївна,Жінка,1959-11-13,Географ,село Галич,"шосе Амбулаторний 2-й, буд. 2, Попасна, 93820",+380 87 859-56-73,iaremchukvioletta@example.com
Ващенко-Захарченко,Марта,Дмитрівна,Жінка,1991-11-12,Хореограф,селище Могилів-Подільський,"сквер Прорізний, буд. 006, Іршава, 89969",+380 12 665 71 10,amvrosiiivanychuk@example.org
Макогон,Тереза,Іванівна,Жінка,2004-10-19,Продюсер,хутір Сватове,"шосе Новікова 2-га, буд. 4 кв. 1, Біла Церква, 82726",038 393-78-53,baidaanastasiia@example.net
Кибкало,Маруся,Петрівна,Жінка,1964-04-25,Стропальник,селище Ланівці,"узвіз Строганов міст, буд. 23 кв. 94, Горішні Плавні, 54321",073 046 91 28,miukhymenko@example.com
Копитко,Камілла,Вікторівна,Жінка,1978-12-06,Біолог,місто Гайворон,"шосе Космонавта Комарова, буд. 475 кв. 6, Білицьке, 53484",096 733-57-38,mdatsiuk@example.com
Чаленко,Розалія,Павлівна,Жінка,1969-02-28,Палеонтолог,місто Берислав,"шосе Офіцерський 2-й, буд. 16 кв. 47, Новий Буг, 44601",076 235 45 87,pelekhnataliia@example.com
Журавель,Варвара,Степанівна,Жінка,1962-07-04,Професор,хутір Бібрка,"парк 10-та Лінія Марії Демченко, буд. 2 кв. 97, Лисичанськ, 84023",031 445-52-61,petroshakhrai@example.org
Андрієвич,Анжела,Олександрівна,Жінка,1967-03-31,Стиліст,селище Брянка,"сквер Казанська, буд. 5, Міусинськ, 73773",660 46 30,haidaburademian@example.org
Палій,Вікторія,Петрівна,Жінка,1950-03-18,Кінокритик,село Березань ,"проспект Сталепрокатна, буд. 008, Роздільна, 03453",063 116-61-19,lahodaiarema@example.org
Журба,Орися,Олексіївна,Жінка,1999-12-31,Журналіст,хутір Благовіщенське,"площа Поштовий, буд. 86, Стебник, 41944",887-36-29,ievtushenkoielysaveta@example.org
Штепа,Анастасія,Олегівна,Жінка,1951-03-05,Мовознавець,хутір Нова Каховка,"вулиця Житомирський 4-й, буд. 54, Сорокине, 86237",+380 31 551 38 48,vashchukpanteleimon@example.net
Мамчур,Володимира,Володимирівна,Жінка,1949-08-05,Професор,місто Полтава,"сквер Промислова, буд. 673, Хрестівка, 93606",+380 (17) 212-07-13,mykytadotsenko@example.net
Вишивана,Лариса,Олегівна,Жінка,1960-01-24,Палеонтолог,місто Перемишляни,"шосе Космонавта Комарова, буд. 81 кв. 73, Олешки, 41503",+380 61 850-59-81,venedyktvlokh@example.com
Гайдай,Оксенія,Макарівна,Жінка,1990-08-31,Письменник,хутір Берестечко,"площа 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 877, Дубровиця, 93524",057 021 66 67,artymovychalbina@example.org
Стельмах,Віолетта,Вікторівна,Жінка,1965-07-28,Ветеринар,місто Вугледар,"проспект Ушакова, буд. 142 кв. 7, Дрогобич, 75754",+380 54 774 18 91,usaienko@example.org
Аронець,Камілла,Петрівна,Жінка,1992-11-05,Епідеміолог,місто Острог,"провулок Восьмого Березня Лінія 4-та, буд. 719, Бровари, 14931",002 113-04-14,malyshkoiarema@example.org
Ємельяненко,Анастасія,Дмитрівна,Жінка,1980-01-19,Прокурор,село Калуш,"проспект Палія Семена, буд. 9 кв. 4, Новий Буг, 26507",+380 35 974 96 72,tbazavluchenko@example.net
Абрагамовська,Ада,Сергіївна,Жінка,1994-04-12,Підприємець,селище Васильків,"проспект 14-та ст. Великого Фонтану пляж, буд. 062 кв. 8, Першотравенськ, 51643",041 211-04-39,zgereta@example.org
Демʼянчук,Святослава,Олексіївна,Жінка,1985-07-28,Хореограф,село Ковель,"узвіз Державіна, буд. 826, Ізяслав, 51307",366 10 18,vakarchukanzhela@example.org
Жайворон,Світлана,Олегівна,Жінка,1962-03-01,М'ясник,село Бориспіль,"парк Суперфосфатна, буд. 2 кв. 7, Коломия, 36843",+380 79 952 26 31,olha56@example.org
Проценко,Віолетта,Вікторівна,Жінка,1987-03-07,Фрілансер,хутір Великі Мости,"узвіз Тополина, буд. 4 кв. 24, Южноукраїнськ, 32617",008 438 10 73,bvasylashko@example.org
Шеремет,Галина,Макарівна,Жінка,1995-11-23,Маркетолог,селище Городенка,"проспект Лазурний 3-й, буд. 38, Сколе, 59296",+380 55 989-68-63,trokhymdanko@example.com
Ємець,Данна,Олегівна,Жінка,1973-02-27,Драматург,місто Ватутіне,"набережна Відважних, буд. 844 кв. 313, Подільськ, 87222",+380 06 934-65-62,vakarchukorkhyp@example.org
Єрмоленко,Еріка,Павлівна,Жінка,1955-01-04,Епідеміолог,хутір Оріхів,"сквер Лінія 26-та, буд. 18, П'ятихатки, 27825",038 688-15-90,ptychyna@example.org
Батюк,Богуслава,Степанівна,Жінка,1967-10-26,Прокурор,селище Попасна,"площа Танкерна, буд. 34, Сорокине, 68242",078 911 82 30,nazarchumak@example.com
Носенко,Дарина,Вікторівна,Жінка,1941-10-07,Правник,селище Вижниця,"шосе Шампанський, буд. 044 кв. 6, Слов'янськ, 38997",373 58 60,gsliusar@example.org
Гресь,Віра,Михайлівна,Жінка,1967-09-06,Швачка,село Дрогобич,"сквер ім. С.Ю. Вітте, буд. 2, Іршава, 78415",088 416-65-96,romanbabych@example.org
Акуленко,Тетяна,Іванівна,Жінка,1995-12-11,Льотчик,селище Великі Мости,"шосе Мала Садова, буд. 23, Броди, 06772",+380 24 503 35 43,vvakarchuk@example.net
Гузенко,Ліза,Степанівна,Жінка,1977-10-04,Бізнесмен,село Чуднів,"вулиця Сонячна, буд. 75 кв. 6, Рогатин, 32630",+380 14 227-43-94,serhiiabramchuk@example.net
Давимука,Віра,Павлівна,Жінка,1971-07-06,Дерун,місто Євпаторія,"набережна Світла, буд. 1, Богуслав, 25044",757-64-90,malykkyrylo@example.com
Матяш,Лілія,Степанівна,Жінка,2008-04-26,Геолог,місто Севастополь,"площа Суднобудівний, буд. 8 кв. 900, Дунаївці, 54009",+380 73 947-87-13,cbaranets@example.net
Швайка,Данна,Олександрівна,Жінка,1985-07-15,Медик,селище Куп'янськ,"узвіз Композитора Ніщинського, буд. 1, Здолбунів, 25458",+380 97 317 57 67,mykolaimasliak@example.org
Смик,Аніта,Богданівна,Жінка,2000-11-27,Водій,селище Макіївка,"шосе Віри Інбер, буд. 68 кв. 2, Бахмут, 46695",+380 12 225-99-90,ihor29@example.org
Гук,Марʼяна,Григорівна,Жінка,1981-12-12,Диригент,хутір Васильків,"площа Чорноморський 3-й, буд. 6, Кривий Ріг, 77880",+380 82 386 27 94,olesdurdynets@example.net
Александренко,Златослава,Богданівна,Жінка,1952-06-23,Електромонтер,місто Гребінка,"сквер Дюківський сад, буд. 26 кв. 0, Антрацит , 79602",092 795 59 73,rudovenko@example.net
Гунько,Дарина,Олексіївна,Жінка,1983-07-14,Мовознавець,селище Новоселиця,"шосе Травневий 4-й, буд. 496, Антрацит , 39406",+380 97 572-97-15,bohodar98@example.org
Єременко,Анжела,Григорівна,Жінка,2002-11-19,Архітектор,місто Херсон,"сквер Дунаєвського, буд. 481, Лутугине, 39077",009 007 98 52,pshapoval@example.net
Даньків,Тетяна,Володимирівна,Жінка,1970-09-08,Гінеколог,хутір Волочиськ,"сквер Українська, буд. 32, Люботин, 46302",+380 65 605-44-94,valeriizaporozhets@example.com
Шахрай,Марія,Юріївна,Жінка,1941-08-09,Математик,село Світловодськ,"шосе Парковий, буд. 29 кв. 862, Ніжин, 83783",102 01 63,epiatachenko@example.org
Шовкопляс,Віра,Михайлівна,Жінка,1954-08-03,Бухгалтер,селище Здолбунів,"шосе Вапняний 1-й, буд. 36, Лохвиця, 81334",+380 38 700 61 17,iustynavyshniak@example.com
Швачка,Ада,Григорівна,Жінка,1977-08-18,Фермер,хутір Балаклія,"шосе Педагогічна, буд. 104 кв. 60, Костянтинівка, 62513",+380 04 422 14 50,amvrosiideineko@example.net
Андрієнко,Тереза,Олександрівна,Жінка,1952-12-14,Вчитель,місто Овруч,"парк Азербайджан, буд. 83 кв. 70, Сорокине, 04871",+380 60 312 32 94,fcherednyk@example.org
Бабко,Дарина,Вікторівна,Жінка,1973-12-27,Нотаріус,місто Бершадь,"шосе Маршала Бабаджаняна, буд. 8 кв. 877, Батурин, 90199",013 485-28-79,romanstets@example.net
Верховинець,Світлана,Михайлівна,Жінка,1940-08-09,Адвокат,селище Устилуг,"парк Сосюри, буд. 362 кв. 57, Новояворівськ, 95180",646-60-26,klavdiia38@example.com
Пелех,Ірина,Олексіївна,Жінка,1941-02-04,Педагог,селище Ровеньки,"провулок Чорноморський 8-й, буд. 8 кв. 725, Арциз, 74991",045-07-05,jbandurka@example.net
Ґерус,Тереза,Степанівна,Жінка,1976-05-23,Стоматолог,село Сімферополь,"сквер Восьмого Березня Лінія 3-тя, буд. 6, Кременець, 17342",085 005 64 63,edanylenko@example.com
Венгринович,Лариса,Степанівна,Жінка,1981-03-18,Менеджер,хутір Мостиська,"вулиця Івахненка Петра, буд. 284, Заводське, 61648",027 601 90 40,verhunhlib@example.net
Овсієнко,Одарка,Михайлівна,Жінка,1945-07-22,Медик,село Турка,"сквер Косовський, буд. 6, Перещепине, 27632",019 502-79-27,medvedenkostanislav@example.org
Туркало,Любов,Вікторівна,Жінка,1983-10-12,Композитор,село Устилуг,"площа Князівська, буд. 8 кв. 314, Рогатин, 13911",530 46 54,stanislav89@example.net
Базилевич,Михайлина,Олексіївна,Жінка,1972-01-27,Патологоанатом,село Сватове,"проспект Наявний 2-й, буд. 06 кв. 78, Іллінці, 99746",294 55 66,udovychenkomykolai@example.net
Голобородько,Наталія,Олександрівна,Жінка,2001-05-02,Реабілітолог,місто Городня,"набережна Восьмого Березня Лінія 1-ша, буд. 7, Вилкове, 68282",+380 47 843 68 06,uviter@example.com
Артимович,Вікторія,Володимирівна,Жінка,1945-12-22,Євнух,хутір Ланівці,"вулиця Чорноморський 13-й, буд. 22 кв. 326, Хирів, 36857",093 733 70 32,mykolaihrechanyk@example.com
Вакарчук,Надія,Іванівна,Жінка,2005-12-01,Фольклорист,село Новояворівськ,"парк Магнітогорський 3-й, буд. 13 кв. 242, Апостолове, 74397",307-65-71,ebaklan@example.com
Бабійчук,Варвара,Олексіївна,Жінка,1948-10-07,Графік,хутір Синельникове,"парк Соляна, буд. 07 кв. 97, Новгород-Сіверський, 46760",+380 28 393 70 76,hryhoriizakusylo@example.com
Фаренюк,Віолетта,Богданівна,Жінка,1994-09-27,Перекладач,місто Пологи ,"узвіз Деволанівський узвіз, буд. 484 кв. 2, Приморськ (Україна), 99048",+380 31 007-37-64,olha44@example.com
Радченко,Богуслава,Григорівна,Жінка,1962-04-22,Штукатур,село Нетішин,"парк Героїв Крут, буд. 10, Міусинськ, 52384",+380 40 957-08-56,qartym@example.org
Тарасенко,Юстина,Сергіївна,Жінка,2003-01-24,Підприємець,селище Гребінка,"узвіз 4-та Лінія Марії Демченко, буд. 906, Київ, 47559",018 751 39 69,chavryliv@example.net
Канівець,Людмила,Григорівна,Жінка,1979-10-10,Кінорежисер,хутір Бахмут,"набережна 7-ма Лінія Дачі Ковалевського, буд. 8 кв. 437, Рогатин, 52816",010 290-90-24,rozaliiagzhytskyi@example.org
Жайворон,Олена,Андріївна,Жінка,1980-12-27,Хімік,селище Буча,"вулиця Черепанових 2-й, буд. 758, Іршава, 30397",040 768-97-40,levkofastenko@example.net
Корбут,Валентина,Юріївна,Жінка,1999-08-09,Державний службовець,село Хотин,"узвіз Адміральський, буд. 697 кв. 9, Токмак, 25957",099 987-27-66,marianachupryna@example.com
Нестеренко,Юстина,Макарівна,Жінка,1991-12-02,Ветеринар,місто Докучаєвськ,"проспект Ширяївський, буд. 2, Виноградів, 62488",338 29 81,vkhorishko@example.net
Рудько,Амалія,Андріївна,Жінка,1943-04-21,Музикознавець,місто Вугледар,"вулиця Косовський, буд. 3 кв. 1, Сєвєродонецьк, 66256",057 333-26-02,dan08@example.org
Овсієнко,Еріка,Петрівна,Жінка,2006-04-10,Піаніст,село Антрацит ,"проспект 7-ма Суворовська, буд. 960, Калуш, 06446",594-37-27,korolenkosviatoslav@example.net
